Date,Location,Operator,Aboard,Fatalities,Summary
"Date:October 19, 2004","Location:Near Kirksville, Missouri",Operator:Corporate Airlines (American Connection),Aboard:15   (passengers:13  crew:2),Fatalities:13   (passengers:11  crew:2),"Summary:The turboprop crashed 4 miles south of Kirksville while on approach to Kirksville Municipal Airport. The plane clipped tree tops before crashing on its belly into a wooded area. Data show the plane descending then climbing slightly in the last four seconds before impact. The plane lacked a modern terrain warning system which would have been required equipment the next year. The pilots' failure to follow established procedures and properly conduct a nonprecision instrument approach at night in instrument meteorological conditions, including their descent below the minimum descent altitude before required visual cues were available (which continued unmoderated until the airplane struck the trees) and their failure to adhere to the established division of duties between the flying and nonflying pilots. Contributing to the accident were the pilots' failure to make standard callouts and the current Federal Aviation Regulations that allow pilots to descend below the MDA into a region in which safe obstacle clearance is not assured based upon seeing the airport approach lights. The pilots' failure to establish and maintain a professional demeanor during the flight and their fatigue likely contributed to their degraded performance."
"Date:October 24, 2004","Location:San Diego, California",Operator:Med Flight Air Ambulance - Private,Aboard:5   (passengers:4  crew:1),Fatalities:5   (passengers:4  crew:1),"Summary:Two minutes after taking off, the air ambulance crashed into Otay peak,  in an isolated area of mountains, 8 miles east of Brown Field Municipal Airport. Dark night visual conditions prevailed. The controller's Minimum Safe Altitude Warning System issued and alert during the last two radar returns. The air traffic controller failed to alert the crew to altitude warnings as the plane was on track to fly into a mountain. The controller identified the airplane on the radar screen and instructed crew members to expect clearance above 5,000 feet, but then issued a heading that resulted in a flight track directly into the mountains. The mountain is at 3,556 feet altitude. Also, the flight crew did not follow the recommended departure procedures for taking off at night and in mountainous terrain. Failure of the flightcrew to maintain terrain clearance during a VFR departure, which resulted in controlled flight into terrain, and the air traffic controller's issuance of a clearance that transferred the responsibility for terrain clearance from the fllightcrew to the controller. The controller's failure to provide terrain clearance instructions to the flightcrew, and failure to advise the flightcrew of minimum safe altitude warning alerts. Contributing to the accident was the pilots' fatigue which likely contributed to their degraded decision making."
"Date:October 24, 2004","Location:Martinsville, Virginia",Operator:Private - Hendrick Motorsports Inc.,Aboard:10   (passengers:8  crew:2),Fatalities:10   (passengers:8  crew:2),"Summary:The plane struck a steep incline in the Bull Mountain area seven miles from the Blue Ridge Regional Airport in heavy fog. Wreckage was confined to an area of approximately 200 ft. long. Killed in the crash were members of the Hendrick Motorsports racing team including the son, brother and two nieces of owner Rick Hendrick. Failure of the crew to properly execute the published instrument approach procedure. A contributing cause was the crew's failure to use all navigational aids to confirm and monitor their position during the approach."
"Date:November 18, 2004","Location:Caracas, Venezuela",Operator:Venezolana,Aboard:21   (passengers:19  crew:2),Fatalities:3   (passengers:3  crew:0),"Summary:The aircraft was arriving on runway 09 at Simon Bolivar Airport when it departed the right side of the runway and cashed into the airport fire house. Weather at the time of the accident was poor, with low ceiling and torrential rain."
"Date:November 21, 2004","Location:Baotou, Inner Mongolia, China",Operator:China Eastern Airlines,Aboard:53   (passengers:47  crew:6),Fatalities:53   (passengers:47  crew:6),"Summary:The aircraft crashed into a frozen lake in Nanhai Park, 10 seconds after taking off. Ice pollution of the wings of the aircraft led to the accident. Failure to deice the plane."
"Date:November 22, 2004","Location:Houston, Texas",Operator:Business Jet Services,Aboard:3   (passengers:0  crew:3),Fatalities:3   (passengers:0  crew:3),"Summary:While on final approach, the aircraft struck a light pole located 1.5 mile short of Runway 04 in thick fog and crashed in a nearby field. The flight crew's failure to adequately monitor and cross check the flight instruments during the approach. Contributing to the accident was the flight crew's failure to select the instrument landing system frequency in a timely manner and to adhere to approved company approach procedures, including the stabilized approach criteria."
"Date:November 27, 2004","Location:Near Bagram, Afghanstan",Operator:Presidental Airways Inc. - Air Taxi,Aboard:6   (passengers:3  crew:3),Fatalities:6   (passengers:3  crew:3),"Summary:Crashed into a mountain 80 miles west of Bagram while en route. The wreckage site was located a the 14,000 ft. level of a 16,739 ft. mountain. The crew deliberately avoided the standard route and took a joy ride in another direction, eventually becoming trapped in a canyon and slamming into a mountainside."
"Date:November 28, 2004","Location:Montrose, Colorado",Operator:Glow Air/Air Castle - Charter,Aboard:6   (passengers:3  crew:3),Fatalities:3   (passengers:1  crew:2),"Summary:While attempting to take off from R31, the aircraft skidded sideways off the runway and went through a perimeter fence, ripping the cockpit from the fuselage and bursting into flames. There was light snow falling with fog and reduced visibility at the time of the accident.  Also, the pilot chose to take off from a 7,500 ft. runway rather than wait for the 10,000 ft. runway to be plowed. The youngest son of NBC sports chairman Dick Ebersol and actress Susan Saint James killed. St. James had just exited the accident vehicle before it took off. The flightcrew's failure to ensure that the airplane's wings were free of ice or snow contamination that accumulated while the airplane was on the ground, which resulted in an attempted takeoff with upper wing contamination that induced the a subsequent stall and collision with the ground. A factor contributing to the accident was the pilots' lack of experience flying during winter weather conditions."
"Date:November 30, 2004","Location:Solo, Indonesia",Operator:Lion Air,Aboard:163   (passengers:156  crew:7),Fatalities:25   (passengers:23  crew:2),"Summary:While attempting to land, the plane overran the runway and crashed through the airport barrier fence, into a rice field, broke in two and  came to rest at a cemetery, 300 meters beyond the runway. Bad weather and a malfunctioning spoiler may have caused the crash."
"Date:December 10, 2004","Location:El Junquito, Venezuela",Operator:Guardia Nacional de Venezuela,Aboard:16   (passengers:13  crew:3),Fatalities:16   (passengers:13  crew:3),Summary:Crashed while en route in mountainous terrain.
"Date:December 11, 2004","Location:Near Jeddah, Saudi Arabia",Operator:Airline Transport,Aboard:7   (passengers:0  crew:7),Fatalities:1   (passengers:0  crew:1),Summary:A forward emergency exit opened in flight causing one of the crew members to be sucked out. An emergency landing was made in Jeddah.
"Date:December 11, 2004","Location:Uberaba, Brazil",Operator:NHR Txi-Areo,Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),"Summary:The crew was performing a mail flight under Total Linhas Areas from Sao Paulo-Guarulhos airport to Uberaba. While on final approach at night, the cargo plane crashed into houses located short of runway and burned."
"Date:January 13, 2005","Location:Tura,Siberia, Russia",Operator:Tura Air Enterprise,Aboard:9   (passengers:7  crew:2),Fatalities:9   (passengers:7  crew:2),Summary:The aircraft disappeared from radar as it was attempting to land. It crashed into a hill 6 miles from its destination. Poor weather conditions existed at the time of the accident. Crew error. Ground proximity warning disabled. Artificial horizon not working.
"Date:January 13, 2005","Location:Manguipayan, Colombia",Operator:Military - Colombian government,Aboard:20   (passengers:18  crew:2),Fatalities:20   (passengers:18  crew:2),Summary:The helicopter was on a counter-narcotics mission when it crashed in heavy fog.
"Date:January 13, 2005","Location:Keene, New Hampshire",Operator:AirNow,Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),"Summary:The cargo plane diverted to Keene due to poor weather. During the final approach at night, the plane hit the ground short of Runway 02 and was destroyed."
"Date:January 26, 2005","Location:Rutbah, Iraq",Operator:Military - U.S. Marines,Aboard:31   (passengers:29  crew:2),Fatalities:31   (passengers:29  crew:2),Summary:The helicopter crashed in rain and a sandstorm.
"Date:January 27, 2005","Location:Lasi, Hungary",Operator:Farnair Hungary,Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),Summary:The cargo plane was attempting to land in a snowstorm when it turned left and descended until it crashed a mile from the airport.
"Date:January 30, 2005","Location:Near Al Taji, Iraq",Operator:Military - Royal Air Force,Aboard:10   (passengers:8  crew:2),Fatalities:10   (passengers:8  crew:2),"Summary:The plane was flying at a low level when it was hit by enemy fire. The right wing separated from the fuselage and the plane lost control, crashed and was destroyed."
"Date:February 03, 2005","Location:Near Kabul, Afghanistan",Operator:Kam Air,Aboard:104   (passengers:96  crew:8),Fatalities:104   (passengers:96  crew:8),"Summary:Unable to land at Kabul because of a blizzard, the crew tried to reach Peshawar, Pakistan but crashed into 11,000 ft. Chaperi Mountain near Kabul."
"Date:February 03, 2005","Location:Near Khartoum, Sudan",Operator:Air West,Aboard:7   (passengers:0  crew:7),Fatalities:7   (passengers:0  crew:7),"Summary:After developing fuel system problems the cargo flight carrying humanitarian goods, was advised to land at Aad Babaker. The plane did not make it and crashed 15 km east of Khartoum."
